label,loss,sce_radius,seed,temperature,neighbor_scale,method,nfe,valid,novel,unique_valid,unique_novel,total
ce_temp09_s0,ce,,0,0.9,4.0,entropy,64,473,377,473,377,1024
ce_temp09_s0,ce,,0,0.9,4.0,euler,128,501,386,501,386,1024
ce_temp09_s0,ce,,0,0.9,4.0,neighbor,128,547,420,547,420,1024
ce_temp09_s0,ce,,0,0.9,4.0,entropy,128,508,380,506,379,1024
ce_temp09_s0,ce,,0,0.9,4.0,euler,256,536,432,534,431,1024
ce_temp09_s0,ce,,0,0.9,4.0,neighbor,256,574,447,574,447,1024
ce_temp09_s0,ce,,0,0.9,4.0,entropy,256,591,443,591,443,1024
ce_temp11_s0,ce,,0,1.1,4.0,euler,8,196,175,196,175,1024
ce_temp11_s0,ce,,0,1.1,4.0,neighbor,8,180,157,180,157,1024
ce_temp11_s0,ce,,0,1.1,4.0,entropy,8,37,36,37,36,1024
ce_temp11_s0,ce,,0,1.1,4.0,euler,16,294,255,294,255,1024
ce_temp11_s0,ce,,0,1.1,4.0,neighbor,16,287,254,287,254,1024
ce_temp11_s0,ce,,0,1.1,4.0,entropy,16,110,106,110,106,1024
ce_temp11_s0,ce,,0,1.1,4.0,euler,32,352,291,352,291,1024
ce_temp11_s0,ce,,0,1.1,4.0,neighbor,32,349,295,349,295,1024
ce_temp11_s0,ce,,0,1.1,4.0,entropy,32,204,188,204,188,1024
ce_temp11_s0,ce,,0,1.1,4.0,euler,64,358,298,358,298,1024
ce_temp11_s0,ce,,0,1.1,4.0,neighbor,64,403,338,403,338,1024
ce_temp11_s0,ce,,0,1.1,4.0,entropy,64,331,288,331,288,1024
ce_temp11_s0,ce,,0,1.1,4.0,euler,128,405,341,405,341,1024
ce_temp11_s0,ce,,0,1.1,4.0,neighbor,128,420,351,420,351,1024
ce_temp11_s0,ce,,0,1.1,4.0,entropy,128,400,334,400,334,1024
ce_temp11_s0,ce,,0,1.1,4.0,euler,256,409,351,409,351,1024
ce_temp11_s0,ce,,0,1.1,4.0,neighbor,256,435,352,434,351,1024
ce_temp11_s0,ce,,0,1.1,4.0,entropy,256,474,400,474,400,1024
ce_temp12_s0,ce,,0,1.2,4.0,euler,8,168,151,167,151,1024
ce_temp12_s0,ce,,0,1.2,4.0,neighbor,8,154,138,154,138,1024
ce_temp12_s0,ce,,0,1.2,4.0,entropy,8,27,26,27,26,1024
ce_temp12_s0,ce,,0,1.2,4.0,euler,16,255,228,255,228,1024
ce_temp12_s0,ce,,0,1.2,4.0,neighbor,16,245,223,245,223,1024
ce_temp12_s0,ce,,0,1.2,4.0,entropy,16,80,76,80,76,1024
ce_temp12_s0,ce,,0,1.2,4.0,euler,32,304,269,304,269,1024
ce_temp12_s0,ce,,0,1.2,4.0,neighbor,32,305,265,305,265,1024
ce_temp12_s0,ce,,0,1.2,4.0,entropy,32,192,180,192,180,1024
ce_temp12_s0,ce,,0,1.2,4.0,euler,64,310,271,310,271,1024
ce_temp12_s0,ce,,0,1.2,4.0,neighbor,64,346,303,346,303,1024
ce_temp12_s0,ce,,0,1.2,4.0,entropy,64,278,253,278,253,1024
ce_temp12_s0,ce,,0,1.2,4.0,euler,128,327,275,327,275,1024
ce_temp12_s0,ce,,0,1.2,4.0,neighbor,128,372,322,372,322,1024
ce_temp12_s0,ce,,0,1.2,4.0,entropy,128,321,281,321,281,1024
ce_temp12_s0,ce,,0,1.2,4.0,euler,256,323,281,323,281,1024
ce_temp12_s0,ce,,0,1.2,4.0,neighbor,256,363,303,361,302,1024
ce_temp12_s0,ce,,0,1.2,4.0,entropy,256,378,331,378,331,1024
ce_temp12_s1,ce,,1,1.2,4.0,euler,8,156,143,156,143,1024
ce_temp12_s1,ce,,1,1.2,4.0,neighbor,8,148,137,148,137,1024
ce_temp12_s1,ce,,1,1.2,4.0,entropy,8,32,31,32,31,1024
ce_temp12_s1,ce,,1,1.2,4.0,euler,16,252,229,252,229,1024
ce_temp12_s1,ce,,1,1.2,4.0,neighbor,16,253,220,253,220,1024
ce_temp12_s1,ce,,1,1.2,4.0,entropy,16,87,83,87,83,1024
ce_temp12_s1,ce,,1,1.2,4.0,euler,32,314,270,314,270,1024
ce_temp12_s1,ce,,1,1.2,4.0,neighbor,32,289,251,289,251,1024
ce_temp12_s1,ce,,1,1.2,4.0,entropy,32,182,167,182,167,1024
ce_temp12_s1,ce,,1,1.2,4.0,euler,64,361,313,361,313,1024
ce_temp12_s1,ce,,1,1.2,4.0,neighbor,64,339,282,339,282,1024
ce_temp12_s1,ce,,1,1.2,4.0,entropy,64,282,253,282,253,1024
ce_temp12_s1,ce,,1,1.2,4.0,euler,128,355,305,355,305,1024
ce_temp12_s1,ce,,1,1.2,4.0,neighbor,128,362,310,362,310,1024
ce_temp12_s1,ce,,1,1.2,4.0,entropy,128,335,302,334,301,1024
ce_temp12_s1,ce,,1,1.2,4.0,euler,256,376,323,376,323,1024
ce_temp12_s1,ce,,1,1.2,4.0,neighbor,256,374,317,374,317,1024
ce_temp12_s1,ce,,1,1.2,4.0,entropy,256,409,360,409,360,1024
ce_temp12_s2,ce,,2,1.2,4.0,euler,8,174,157,174,157,1024
ce_temp12_s2,ce,,2,1.2,4.0,neighbor,8,137,128,137,128,1024
ce_temp12_s2,ce,,2,1.2,4.0,entropy,8,29,27,29,27,1024
ce_temp12_s2,ce,,2,1.2,4.0,euler,16,245,217,245,217,1024
ce_temp12_s2,ce,,2,1.2,4.0,neighbor,16,241,226,241,226,1024
ce_temp12_s2,ce,,2,1.2,4.0,entropy,16,78,75,78,75,1024
ce_temp12_s2,ce,,2,1.2,4.0,euler,32,287,248,287,248,1024
ce_temp12_s2,ce,,2,1.2,4.0,neighbor,32,303,269,303,269,1024
ce_temp12_s2,ce,,2,1.2,4.0,entropy,32,184,165,184,165,1024
ce_temp12_s2,ce,,2,1.2,4.0,euler,64,328,283,328,283,1024
ce_temp12_s2,ce,,2,1.2,4.0,neighbor,64,337,299,337,299,1024
ce_temp12_s2,ce,,2,1.2,4.0,entropy,64,285,262,285,262,1024
ce_temp12_s2,ce,,2,1.2,4.0,euler,128,355,317,355,317,1024
ce_temp12_s2,ce,,2,1.2,4.0,neighbor,128,371,326,370,325,1024
ce_temp12_s2,ce,,2,1.2,4.0,entropy,128,360,308,360,308,1024
ce_temp12_s2,ce,,2,1.2,4.0,euler,256,326,288,324,287,1024
ce_temp12_s2,ce,,2,1.2,4.0,neighbor,256,328,277,328,277,1024
ce_temp12_s2,ce,,2,1.2,4.0,entropy,256,384,331,383,331,1024
ce_temp12_s3,ce,,3,1.2,4.0,euler,8,175,159,175,159,1024
ce_temp12_s3,ce,,3,1.2,4.0,neighbor,8,142,130,142,130,1024
ce_temp12_s3,ce,,3,1.2,4.0,entropy,8,29,26,29,26,1024
