count,entropy,label,neighbors,nll,t
867,0.8166190981864929,sce_r3_s1,2,0.8364298343658447,0.25
39,0.8514392375946045,sce_r3_s1,3,0.9054824709892273,0.25
3,0.22639214992523193,sce_r3_s1,4,2.363912343978882,0.25
7271,1.0714020729064941,sce_r3_s1,0,1.0605705976486206,0.5
10019,0.8162367939949036,sce_r3_s1,1,0.7909533977508545,0.5
5247,0.601780354976654,sce_r3_s1,2,0.5713187456130981,0.5
1139,0.4498654007911682,sce_r3_s1,3,0.42718979716300964,0.5
89,0.20670446753501892,sce_r3_s1,4,0.14826452732086182,0.5
598,0.7682779431343079,sce_r3_s1,0,0.7688419818878174,0.75
2795,0.6326908469200134,sce_r3_s1,1,0.6062753200531006,0.75
4888,0.4722222089767456,sce_r3_s1,2,0.4495008587837219,0.75
4268,0.3337143361568451,sce_r3_s1,3,0.3208727538585663,0.75
1258,0.23274381458759308,sce_r3_s1,4,0.20106081664562225,0.75
21814,1.2040904760360718,sce_r3_s2,0,1.2208932638168335,0.25
7127,1.0734660625457764,sce_r3_s2,1,1.0534719228744507,0.25
826,0.8085588812828064,sce_r3_s2,2,0.7894840240478516,0.25
26,0.5189101099967957,sce_r3_s2,3,0.3386492431163788,0.25
7341,1.038366675376892,sce_r3_s2,0,1.039521336555481,0.5
9985,0.8176841139793396,sce_r3_s2,1,0.800911009311676,0.5
5196,0.6044586896896362,sce_r3_s2,2,0.5687475800514221,0.5
1172,0.4538453221321106,sce_r3_s2,3,0.4550737738609314,0.5
86,0.4138221740722656,sce_r3_s2,4,0.35195088386535645,0.5
619,0.8552480936050415,sce_r3_s2,0,0.8462293148040771,0.75
2767,0.6126387119293213,sce_r3_s2,1,0.5954177379608154,0.75
5037,0.472006231546402,sce_r3_s2,2,0.43970271944999695,0.75
4182,0.32892337441444397,sce_r3_s2,3,0.3020767867565155,0.75
1306,0.23838019371032715,sce_r3_s2,4,0.2196080982685089,0.75
21754,1.1914891004562378,sce_r3_s3,0,1.1944540739059448,0.25
7149,1.0650384426116943,sce_r3_s3,1,1.0397419929504395,0.25
827,0.8597676753997803,sce_r3_s3,2,0.8094939589500427,0.25
43,0.6000853180885315,sce_r3_s3,3,0.4794433116912842,0.25
7304,1.0602067708969116,sce_r3_s3,0,1.0407142639160156,0.5
10025,0.8294656872749329,sce_r3_s3,1,0.8140367865562439,0.5
5129,0.6159467697143555,sce_r3_s3,2,0.5869898200035095,0.5
1148,0.42641958594322205,sce_r3_s3,3,0.4118075966835022,0.5
112,0.25471019744873047,sce_r3_s3,4,0.2868792712688446,0.5
612,0.7874764800071716,sce_r3_s3,0,0.7012159824371338,0.75
2946,0.6168040037155151,sce_r3_s3,1,0.5820406079292297,0.75
5029,0.4552617073059082,sce_r3_s3,2,0.41795286536216736,0.75
4121,0.3364463150501251,sce_r3_s3,3,0.30566102266311646,0.75
1280,0.24368472397327423,sce_r3_s3,4,0.20506882667541504,0.75
