kind,label,loss,method,nfe,novel,sce_radius,seed,total,unique_novel,unique_valid,valid
generation,sce_r2_s2,sce,euler,128,334,2,2,1024,334,403,403
generation,sce_r2_s2,sce,neighbor,128,354,2,2,1024,354,421,422
generation,sce_r2_s2,sce,entropy,128,328,2,2,1024,328,401,401
generation,sce_r2_s2,sce,euler,256,336,2,2,1024,336,389,389
generation,sce_r2_s2,sce,neighbor,256,351,2,2,1024,350,443,445
generation,sce_r2_s2,sce,entropy,256,373,2,2,1024,373,469,469
generation,sce_r2_s3,sce,euler,8,155,2,3,1024,155,179,179
generation,sce_r2_s3,sce,neighbor,8,131,2,3,1024,131,151,151
generation,sce_r2_s3,sce,entropy,8,38,2,3,1024,38,39,39
generation,sce_r2_s3,sce,euler,16,261,2,3,1024,261,310,310
generation,sce_r2_s3,sce,neighbor,16,247,2,3,1024,247,280,280
generation,sce_r2_s3,sce,entropy,16,100,2,3,1024,100,110,110
generation,sce_r2_s3,sce,euler,32,316,2,3,1024,316,376,376
generation,sce_r2_s3,sce,neighbor,32,309,2,3,1024,308,372,373
generation,sce_r2_s3,sce,entropy,32,206,2,3,1024,206,239,239
generation,sce_r2_s3,sce,euler,64,321,2,3,1024,321,392,392
generation,sce_r2_s3,sce,neighbor,64,328,2,3,1024,328,388,388
generation,sce_r2_s3,sce,entropy,64,306,2,3,1024,306,349,349
generation,sce_r2_s3,sce,euler,128,332,2,3,1024,332,403,403
generation,sce_r2_s3,sce,neighbor,128,334,2,3,1024,334,409,410
generation,sce_r2_s3,sce,entropy,128,330,2,3,1024,330,399,399
generation,sce_r2_s3,sce,euler,256,331,2,3,1024,331,408,408
generation,sce_r2_s3,sce,neighbor,256,351,2,3,1024,351,433,433
generation,sce_r2_s3,sce,entropy,256,357,2,3,1024,357,456,456
generation,sce_r3_s0,sce,euler,8,164,3,0,1024,164,186,186
generation,sce_r3_s0,sce,neighbor,8,158,3,0,1024,158,178,178
generation,sce_r3_s0,sce,entropy,8,36,3,0,1024,36,37,37
generation,sce_r3_s0,sce,euler,16,234,3,0,1024,234,274,274
generation,sce_r3_s0,sce,neighbor,16,247,3,0,1024,247,285,285
generation,sce_r3_s0,sce,entropy,16,104,3,0,1024,104,110,110
generation,sce_r3_s0,sce,euler,32,301,3,0,1024,301,353,353
generation,sce_r3_s0,sce,neighbor,32,290,3,0,1024,290,341,341
generation,sce_r3_s0,sce,entropy,32,203,3,0,1024,203,221,221
generation,sce_r3_s0,sce,euler,64,309,3,0,1024,309,371,372
generation,sce_r3_s0,sce,neighbor,64,327,3,0,1024,327,411,411
generation,sce_r3_s0,sce,entropy,64,289,3,0,1024,289,332,332
generation,sce_r3_s0,sce,euler,128,340,3,0,1024,340,408,408
generation,sce_r3_s0,sce,neighbor,128,332,3,0,1024,332,408,408
generation,sce_r3_s0,sce,entropy,128,332,3,0,1024,332,392,392
generation,sce_r3_s0,sce,euler,256,338,3,0,1024,338,397,398
generation,sce_r3_s0,sce,neighbor,256,330,3,0,1024,329,412,413
generation,sce_r3_s0,sce,entropy,256,341,3,0,1024,341,419,419
generation,sce_r3_s1,sce,euler,8,155,3,1,1024,155,181,181
generation,sce_r3_s1,sce,neighbor,8,184,3,1,1024,184,199,199
generation,sce_r3_s1,sce,entropy,8,37,3,1,1024,37,41,41
generation,sce_r3_s1,sce,euler,16,272,3,1,1024,272,312,312
generation,sce_r3_s1,sce,neighbor,16,239,3,1,1024,239,270,270
generation,sce_r3_s1,sce,entropy,16,88,3,1,1024,88,96,96
generation,sce_r3_s1,sce,euler,32,296,3,1,1024,296,360,360
generation,sce_r3_s1,sce,neighbor,32,280,3,1,1024,280,337,337
generation,sce_r3_s1,sce,entropy,32,208,3,1,1024,208,240,240
generation,sce_r3_s1,sce,euler,64,337,3,1,1024,337,399,399
generation,sce_r3_s1,sce,neighbor,64,314,3,1,1024,314,383,383
generation,sce_r3_s1,sce,entropy,64,280,3,1,1024,280,334,334
generation,sce_r3_s1,sce,euler,128,315,3,1,1024,315,379,379
generation,sce_r3_s1,sce,neighbor,128,327,3,1,1024,326,392,393
generation,sce_r3_s1,sce,entropy,128,343,3,1,1024,343,410,411
generation,sce_r3_s1,sce,euler,256,336,3,1,1024,336,407,408
generation,sce_r3_s1,sce,neighbor,256,342,3,1,1024,342,430,431
generation,sce_r3_s1,sce,entropy,256,396,3,1,1024,396,464,464
generation,sce_r3_s2,sce,euler,8,203,3,2,1024,203,221,221
generation,sce_r3_s2,sce,neighbor,8,152,3,2,1024,152,182,182
generation,sce_r3_s2,sce,entropy,8,37,3,2,1024,37,41,41
generation,sce_r3_s2,sce,euler,16,243,3,2,1024,243,283,283
generation,sce_r3_s2,sce,neighbor,16,246,3,2,1024,246,283,283
generation,sce_r3_s2,sce,entropy,16,115,3,2,1024,115,125,125
generation,sce_r3_s2,sce,euler,32,268,3,2,1024,268,315,316
generation,sce_r3_s2,sce,neighbor,32,287,3,2,1024,287,340,340
generation,sce_r3_s2,sce,entropy,32,198,3,2,1024,198,220,220
generation,sce_r3_s2,sce,euler,64,335,3,2,1024,335,400,400
generation,sce_r3_s2,sce,neighbor,64,330,3,2,1024,330,390,390
generation,sce_r3_s2,sce,entropy,64,309,3,2,1024,309,357,357
generation,sce_r3_s2,sce,euler,128,337,3,2,1024,337,402,402
generation,sce_r3_s2,sce,neighbor,128,344,3,2,1024,343,416,418
generation,sce_r3_s2,sce,entropy,128,317,3,2,1024,317,380,380
generation,sce_r3_s2,sce,euler,256,341,3,2,1024,341,395,395
generation,sce_r3_s2,sce,neighbor,256,344,3,2,1024,344,432,432
generation,sce_r3_s2,sce,entropy,256,342,3,2,1024,342,427,427
generation,sce_r3_s3,sce,euler,8,180,3,3,1024,180,204,204
generation,sce_r3_s3,sce,neighbor,8,130,3,3,1024,130,151,151
generation,sce_r3_s3,sce,entropy,8,44,3,3,1024,44,46,46
generation,sce_r3_s3,sce,euler,16,255,3,3,1024,255,312,312
generation,sce_r3_s3,sce,neighbor,16,250,3,3,1024,250,284,284
generation,sce_r3_s3,sce,entropy,16,109,3,3,1024,109,118,118
generation,sce_r3_s3,sce,euler,32,312,3,3,1024,312,381,381
generation,sce_r3_s3,sce,neighbor,32,315,3,3,1024,314,376,377
generation,sce_r3_s3,sce,entropy,32,210,3,3,1024,210,243,243
generation,sce_r3_s3,sce,euler,64,310,3,3,1024,310,388,388
generation,sce_r3_s3,sce,neighbor,64,349,3,3,1024,349,406,406
generation,sce_r3_s3,sce,entropy,64,303,3,3,1024,303,356,356
generation,sce_r3_s3,sce,euler,128,331,3,3,1024,330,404,405
generation,sce_r3_s3,sce,neighbor,128,333,3,3,1024,333,419,419
generation,sce_r3_s3,sce,entropy,128,334,3,3,1024,334,419,419
generation,sce_r3_s3,sce,euler,256,330,3,3,1024,330,409,409
generation,sce_r3_s3,sce,neighbor,256,329,3,3,1024,329,416,416
generation,sce_r3_s3,sce,entropy,256,348,3,3,1024,348,443,443
